fecha,hora,picks_enviados,estado
2025-05-01,06:35:07,0,error: [Errno 2] No such file or directory: 'data/cuotas_diarias.json'
2025-05-01,06:35:07,0,error: [Errno 2] No such file or directory: 'data/cuotas_diarias.json'
2025-05-01,06:37:19,0,error: [Errno 2] No such file or directory: 'data/cuotas_diarias.json'
2025-05-01,06:37:19,0,error: [Errno 2] No such file or directory: 'data/cuotas_diarias.json'
2025-05-01,06:39:19,0,error: [Errno 2] No such file or directory: 'data/cuotas_diarias.json'
2025-05-01,06:39:19,0,error: [Errno 2] No such file or directory: 'data/cuotas_diarias.json'
2025-05-01,06:50:43,0,error: [Errno 2] No such file or directory: 'data/cuotas_diarias.json'
2025-05-01,06:50:43,0,error: [Errno 2] No such file or directory: 'data/cuotas_diarias.json'
2025-05-01,06:55:06,0,error: 'list' object has no attribute 'get'
2025-05-01,06:55:06,0,error: 'list' object has no attribute 'get'
